_messagetimems,_messagetime,_,duration,ip,revProxyPath,_raw
1.68128E+12,12/04/2023 11:33:55.000 +0530,",""time"":""2023-04-12T06:03:55Z""}}",10.947216ms,10.130.186.102,/v1.0/api/system/browser,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /v1.0/api/system/browser and ip 10.130.186.102 is 10.947216ms"",""time"":""2023-04-12T06:03:55Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",56.053283ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 56.053283ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",8.133175ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 8.133175ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",11.048215ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 11.048215ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",9.37387ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 9.37387ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",81.866245ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 81.866245ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",79.630693ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 79.630693ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",144.237171ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 144.237171ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",98.953699ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 98.953699ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",57.55829ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 57.55829ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",57.294926ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 57.294926ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",52.588187ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 52.588187ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",78.488917ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 78.488917ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",85.156602ms,10.130.186.102,/api/streamer/getIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/getIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 85.156602ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",12.780332ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 12.780332ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",12.473047ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 12.473047ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",12.029321ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 12.029321ms"",""time"":""2023-04-12T06:03:05Z""}}"
