33148,_messagetime,api,duration,ip,z,zz,zzz,zzzz,_raw
1.68123E+12,11/04/2023 23:01:36.851 +0530,update-display-scale,65,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:31:36.851"," INFO index.js [line:1060,test_id:TES1010424871681233902225245","{\""time\""","""}","{""log"":""[2023-04-11T17:31:36.851] INFO index.js [line:1060,test_id:TES1010424871681233902225245] update-display-scale response-time - {\""time\"":65,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 23:00:51.022 +0530,system-action,33,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:30:51.022"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T17:30:51.022] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":33,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:57:45.268 +0530,paste-data,1,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:27:45.268"," INFO index.js [line:1591,test_id:TES1010424871681233902225245","{\""time\""","""}","{""log"":""[2023-04-11T17:27:45.268] INFO index.js [line:1591,test_id:TES1010424871681233902225245] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:57:45.267 +0530,update-proxy,78,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:27:45.267"," INFO index.js [line:1558,test_id:TES1010424871681233902225245","{\""time\""","""}","{""log"":""[2023-04-11T17:27:45.267] INFO index.js [line:1558,test_id:TES1010424871681233902225245] update-proxy response-time - {\""time\"":78,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:55:02.999 +0530,request-browser-launch,182,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:25:02.999"," INFO test.js [line:4729,test_id:TES1010424871681233902225245,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T17:25:02.999] INFO test.js [line:4729,test_id:TES1010424871681233902225245,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":182,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:53:36.596 +0530,clean-browser,29,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:23:36.596"," INFO index.js [line:124,test_id:TES1010424871681233069287773","{\""time\""","""}","{""log"":""[2023-04-11T17:23:36.596] INFO index.js [line:124,test_id:TES1010424871681233069287773] clean-browser response-time - {\""time\"":29,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:48:36.403 +0530,change-resolution,319,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:18:36.403"," INFO index.js [line:486,test_id:TES1010424871681233069287773","{\""time\""","""}","{""log"":""[2023-04-11T17:18:36.403] INFO index.js [line:486,test_id:TES1010424871681233069287773] change-resolution response-time - {\""time\"":319,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:47:45.381 +0530,update-display-scale,72,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:17:45.381"," INFO index.js [line:1060,test_id:TES1010424871681233069287773","{\""time\""","""}","{""log"":""[2023-04-11T17:17:45.381] INFO index.js [line:1060,test_id:TES1010424871681233069287773] update-display-scale response-time - {\""time\"":72,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:46:59.101 +0530,system-action,32,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:16:59.101"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T17:16:59.101] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":32,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:43:52.085 +0530,paste-data,1,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:13:52.085"," INFO index.js [line:1591,test_id:TES1010424871681233069287773","{\""time\""","""}","{""log"":""[2023-04-11T17:13:52.085] INFO index.js [line:1591,test_id:TES1010424871681233069287773] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.186.102\""}""}"
