"_messagetimems","_messagetime","api","duration","ip","z","zz","zzz","zzzz","_raw","cluster","_collector","container","deployment","host","_view","log","namespace","node","pod","service","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1681232856618","11/04/2023 22:37:36.618 +0530","clean-browser","15","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T17:07:36.618"," INFO index.js [line:124,test_id:TES1010424871681232129405365","{\""time\""","""}","{""log"":""[2023-04-11T17:07:36.618] INFO index.js [line:124,test_id:TES1010424871681232129405365] clean-browser response-time - {\""time\"":15,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T17:07:36.618] INFO index.js [line:124,test_id:TES1010424871681232129405365] clean-browser response-time - {""time"":15,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232568869","11/04/2023 22:32:48.869 +0530","change-resolution","295","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T17:02:48.869"," INFO index.js [line:486,test_id:TES1010424871681232129405365","{\""time\""","""}","{""log"":""[2023-04-11T17:02:48.869] INFO index.js [line:486,test_id:TES1010424871681232129405365] change-resolution response-time - {\""time\"":295,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T17:02:48.869] INFO index.js [line:486,test_id:TES1010424871681232129405365] change-resolution response-time - {""time"":295,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","172","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232518000","11/04/2023 22:31:58.000 +0530","update-display-scale","55","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T17:01:58.316"," INFO index.js [line:1060,test_id:TES1010424871681232129405365","{\""time\""","""}","{""log"":""[2023-04-11T17:01:58.316] INFO index.js [line:1060,test_id:TES1010424871681232129405365] update-display-scale response-time - {\""time\"":55,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T17:01:58.316] INFO index.js [line:1060,test_id:TES1010424871681232129405365] update-display-scale response-time - {""time"":55,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","175","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232472597","11/04/2023 22:31:12.597 +0530","system-action","42","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T17:01:12.597"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T17:01:12.597] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":42,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T17:01:12.597] INFO index.js [line:1294,test_id:undefined] system-action response-time - {""time"":42,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","149","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232290713","11/04/2023 22:28:10.713 +0530","paste-data","1","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:58:10.713"," INFO index.js [line:1591,test_id:TES1010424871681232129405365","{\""time\""","""}","{""log"":""[2023-04-11T16:58:10.713] INFO index.js [line:1591,test_id:TES1010424871681232129405365] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:58:10.713] INFO index.js [line:1591,test_id:TES1010424871681232129405365] paste-data response-time - {""time"":1,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","164","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232290712","11/04/2023 22:28:10.712 +0530","update-proxy","20","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:58:10.712"," INFO index.js [line:1558,test_id:TES1010424871681232129405365","{\""time\""","""}","{""log"":""[2023-04-11T16:58:10.712] INFO index.js [line:1558,test_id:TES1010424871681232129405365] update-proxy response-time - {\""time\"":20,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:58:10.712] INFO index.js [line:1558,test_id:TES1010424871681232129405365] update-proxy response-time - {""time"":20,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232130287","11/04/2023 22:25:30.287 +0530","request-browser-launch","205","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:55:30.287"," INFO test.js [line:4729,test_id:TES1010424871681232129405365,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:55:30.287] INFO test.js [line:4729,test_id:TES1010424871681232129405365,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":205,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:55:30.287] INFO test.js [line:4729,test_id:TES1010424871681232129405365,email:saraths@lambdatest.com] request-browser-launch response-time - {""time"":205,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","206","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681232044097","11/04/2023 22:24:04.097 +0530","clean-browser","13","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:54:04.097"," INFO index.js [line:124,test_id:TES1010424871681230167703900","{\""time\""","""}","{""log"":""[2023-04-11T16:54:04.097] INFO index.js [line:124,test_id:TES1010424871681230167703900] clean-browser response-time - {\""time\"":13,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:54:04.097] INFO index.js [line:124,test_id:TES1010424871681230167703900] clean-browser response-time - {""time"":13,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681230743953","11/04/2023 22:02:23.953 +0530","change-resolution","57","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:32:23.953"," INFO index.js [line:486,test_id:TES1010424871681230167703900","{\""time\""","""}","{""log"":""[2023-04-11T16:32:23.953] INFO index.js [line:486,test_id:TES1010424871681230167703900] change-resolution response-time - {\""time\"":57,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:32:23.953] INFO index.js [line:486,test_id:TES1010424871681230167703900] change-resolution response-time - {""time"":57,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","171","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681230552000","11/04/2023 21:59:12.000 +0530","update-display-scale","36","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:29:12.884"," INFO index.js [line:1060,test_id:TES1010424871681230167703900","{\""time\""","""}","{""log"":""[2023-04-11T16:29:12.884] INFO index.js [line:1060,test_id:TES1010424871681230167703900] update-display-scale response-time - {\""time\"":36,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:29:12.884] INFO index.js [line:1060,test_id:TES1010424871681230167703900] update-display-scale response-time - {""time"":36,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","175","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
