"_messagetimems","_messagetime","_","duration","ip","revProxyPath","_raw","cluster","_collector","container","deployment","host","_view","log.level","log.msg","log.time","namespace","node","pod","service","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1681234192000","11/04/2023 22:59:52.000 +0530",",""time"":""2023-04-11T17:29:52Z""}}","149.437486ms","10.130.186.102","/api/v1.0/video/stop","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/v1.0/video/stop and ip 10.130.186.102 is 149.437486ms"",""time"":""2023-04-11T17:29:52Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/v1.0/video/stop and ip 10.130.186.102 is 149.437486ms","2023-04-11T17:29:52Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","166","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681234177000","11/04/2023 22:59:37.000 +0530",",""time"":""2023-04-11T17:29:37Z""}}","16.561797ms","10.130.186.102","/api/v1.0/video/start","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/v1.0/video/start and ip 10.130.186.102 is 16.561797ms"",""time"":""2023-04-11T17:29:37Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/v1.0/video/start and ip 10.130.186.102 is 16.561797ms","2023-04-11T17:29:37Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","166","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233955000","11/04/2023 22:55:55.000 +0530",",""time"":""2023-04-11T17:25:55Z""}}","11.683362ms","10.130.186.102","/v1.0/api/system/browser","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /v1.0/api/system/browser and ip 10.130.186.102 is 11.683362ms"",""time"":""2023-04-11T17:25:55Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /v1.0/api/system/browser and ip 10.130.186.102 is 11.683362ms","2023-04-11T17:25:55Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","169","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","95.293525ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 95.293525ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 95.293525ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","10.183577ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 10.183577ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 10.183577ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","71.49391ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 71.49391ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 71.49391ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","203","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","99.703701ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 99.703701ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 99.703701ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","76.289503ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 76.289503ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 76.289503ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","99.603793ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 99.603793ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 99.603793ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","204","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
"1681233905000","11/04/2023 22:55:05.000 +0530",",""time"":""2023-04-11T17:25:05Z""}}","20.06349ms","10.130.186.102","/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=","{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 20.06349ms"",""time"":""2023-04-11T17:25:05Z""}}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","lvag","lvag","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","info","reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 20.06349ms","2023-04-11T17:25:05Z","default","ip-10-104-23-111.ec2.internal","lvag-6975b4f649-npt8b","lvag","203","logs","kubernetes/default/lvag","54.157.130.114","default.lvag-6975b4f649-npt8b.lvag"
